Prefix RunNumber Configuration Runtime CreatedEvents Sec/Simsec StudyParameter
mpi_nma_channeldelay_100ms 15 Monolithic 163.410s 40533342 0.367277012195 1500 1
mpi_nma_channeldelay_100ms 16 Monolithic 122.678s 30000002 0.485329612903 2000 0
mpi_nma_channeldelay_100ms 16 Monolithic 120.843s 30550008 0.496312459016 2000 1
mpi_nma_channeldelay_100ms 17 Monolithic 98.687s 24000002 0.60214858 2500 0
mpi_nma_channeldelay_100ms 17 Monolithic 97.019s 24560008 0.618599938776 2500 1
mpi_nma_channeldelay_100ms 18 Monolithic 81.532s 20000002 0.729466902439 3000 0
mpi_nma_channeldelay_100ms 18 Monolithic 79.982s 20566675 0.750313375 3000 1
mpi_nma_channeldelay_100ms 19 Monolithic 70.758s 17142860 0.83643825 3500 0
mpi_nma_channeldelay_100ms 19 Monolithic 69.288s 17714294 0.866184514286 3500 1
mpi_nma_channeldelay_100ms 20 Monolithic 62.359s 15000002 0.94444059375 4000 0
mpi_nma_channeldelay_100ms 20 Monolithic 60.942s 15575008 0.984782612903 4000 1
mpi_nma_channeldelay_100ms 21 Monolithic 54.618s 13333336 1.07758882143 4500 0
mpi_nma_channeldelay_100ms 21 Monolithic 53.254s 13911120 1.12685111111 4500 1
mpi_nma_channeldelay_100ms 22 Monolithic 49.175s 12000002 1.1980572 5000 0
mpi_nma_channeldelay_100ms 22 Monolithic 47.843s 12580008 1.25422583333 5000 1
mpi_nma_channeldelay_100ms 23 Monolithic 44.663s 10909093 1.31180891304 5500 0
mpi_nma_channeldelay_100ms 23 Monolithic 43.360s 11490918 1.38407909091 5500 1
mpi_nma_channeldelay_100ms 24 Monolithic 42.163s 10000002 1.38093536364 6000 0
mpi_nma_channeldelay_100ms 24 Monolithic 40.889s 10583342 1.46735238095 6000 1
mpi_nma_channeldelay_100ms 25 Monolithic 38.449s 9230772 1.5149912 6500 0
mpi_nma_channeldelay_100ms 25 Monolithic 37.191s 9815393 1.61213210526 6500 1
mpi_nma_channeldelay_100ms 26 Monolithic 35.578s 8571431 1.67180822222 7000 0
mpi_nma_channeldelay_100ms 26 Monolithic 34.339s 9157151 1.74704055556 7000 1
mpi_nma_channeldelay_100ms 27 Monolithic 33.159s 8000002 1.75804929412 7500 0
mpi_nma_channeldelay_100ms 27 Monolithic 31.940s 8586675 1.87875375 7500 1
mpi_nma_channeldelay_100ms 28 Monolithic 32.260s 7500002 1.79179458824 8000 0
mpi_nma_channeldelay_100ms 28 Monolithic 31.053s 8087508 1.931900625 8000 1
mpi_nma_channeldelay_100ms 29 Monolithic 29.154s 7058826 1.99006886667 8500 0
mpi_nma_channeldelay_100ms 29 Monolithic 27.947s 7647067 2.14726714286 8500 1
mpi_nma_channeldelay_100ms 30 Monolithic 28.498s 6666669 2.02355726667 9000 0
